ID,Latitude,Longitude,Date,MODIS_Tile,MCD12Q1_061_Line_Y_500m,MCD12Q1_061_Sample_X_500m,MCD12Q1_061_LC_Type1,MCD12Q1_061_QC,MCD12Q1_061_QC_bitmask,MCD12Q1_061_QC_Name,MCD12Q1_061_QC_Name_Description
Alameda,37.646558383389326,-121.88599276871057,2024-01-01,h08v05,564.0,837.0,10.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Alpine,38.59710358627376,-119.82061609148332,2024-01-01,h08v05,336.0,1524.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Amador,38.44660958224927,-120.65167564667276,2024-01-01,h08v05,372.0,1321.0,1.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Butte,39.6665591075738,-121.60071396674024,2024-01-01,h08v05,80.0,1534.0,10.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Calaveras,38.20446480043804,-120.55467676007612,2024-01-01,h08v05,430.0,1264.0,8.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Colusa,39.17751355133273,-122.23674825341509,2024-01-01,h08v05,197.0,1258.0,12.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Contra Costa,37.91893399518619,-121.92634148953294,2024-01-01,h08v05,499.0,915.0,10.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Del Norte,41.74275471175066,-123.89690219790852,2024-01-01,h08v04,1981.0,1813.0,1.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
El Dorado,38.77891132408718,-120.5250513324122,2024-01-01,h08v05,293.0,1450.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Fresno,36.75855952256403,-119.65341127331918,2024-01-01,h08v05,777.0,993.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Glenn,39.59848588146047,-122.3920273292113,2024-01-01,h08v05,96.0,1366.0,10.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Humboldt,40.69643259094412,-123.87405180144142,2024-01-01,h08v04,2232.0,1459.0,2.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Imperial,33.0399401119891,-115.36535928430732,2024-01-01,h08v05,1670.0,789.0,12.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Inyo,36.51018088495567,-117.4056486333494,2024-01-01,h08v05,837.0,1352.0,7.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Kern,35.343566171137724,-118.72905875887498,2024-01-01,h08v05,1117.0,756.0,10.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Kings,36.07496569564352,-119.81584870304872,2024-01-01,h08v05,942.0,758.0,12.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Lake,39.09948736023088,-122.7527939831602,2024-01-01,h08v05,216.0,1136.0,8.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Lassen,40.67263695202722,-120.59329556880998,2024-01-01,h08v04,2238.0,2048.0,10.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Los Angeles,34.340908870107434,-118.2210735459441,2024-01-01,h08v05,1358.0,572.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Madera,37.21783490247447,-119.76473869096674,2024-01-01,h08v05,667.0,1110.0,10.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Marin,38.071952702973,-122.71838215109312,2024-01-01,h08v05,462.0,813.0,10.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Mariposa,37.58147956690524,-119.90595222467051,2024-01-01,h08v05,580.0,1194.0,8.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Mendocino,39.43881678025051,-123.39112121748636,2024-01-01,h08v05,134.0,1129.0,1.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
Merced,37.19169256804378,-120.71844071529075,2024-01-01,h08v05,673.0,920.0,12.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
