region_id,lat,lon,PRECIPITATION,MAX_TEMP,MIN_TEMP,AVG_WIND_SPEED,TEMP_RANGE,WIND_TEMP_RATIO,LAGGED_PRECIPITATION,LAGGED_AVG_WIND_SPEED,SEASON,om_temp_max_c,om_wind_speed_max_ms,om_soil_temp_mean_c,om_rel_humidity_mean,om_vpd_max_kpa,om_soil_moisture_0_7cm_mean,ET_500m,FIRE_PROB,LST_Day_1km,LSTxNDVI,VPDxNDVI,LSTxVPD,likelihood,LC_Type1,NDVI,Percent_Tree_Cover,pred_acres,pred_duration
Alameda,37.646558383389326,-121.88599276871057,0.0,25.4,11.4,3.7,13.999999999999998,0.1456692913385827,0.0,4.6,FALL,25.4,3.7,,60.0,1.88,,,,,,0.6568719999999999,,20.119177669471103,10,0.3494,8,121.70652313328773,1.05989845563291
Alpine,38.59710358627376,-119.82061609148332,0.0,14.9,6.0,17.1,8.9,1.1476510067114094,0.0,10.0,FALL,14.9,17.1,,28.0,1.3,,,,,,0.27001000000000003,,20.00115111362321,9,0.2077,34,52.2261602456703,12.936986604709137
Amador,38.44660958224927,-120.65167564667276,0.0,24.5,14.5,4.6,10.0,0.1877551020408163,0.0,6.2,FALL,24.5,4.6,,36.0,2.24,,,,,,1.7722880000000003,,18.813066768044674,1,0.7912,58,117.59439319233951,8.360626350524344
Butte,39.6665591075738,-121.60071396674024,0.0,24.4,14.7,5.4,9.7,0.2213114754098361,0.0,5.8,FALL,24.4,5.4,,49.0,1.83,,,,,,1.0211400000000002,,18.813066768044674,10,0.558,4,913.5536522622484,2.371404760259175
Calaveras,38.20446480043804,-120.55467676007612,0.0,25.1,14.9,7.1,10.200000000000001,0.2828685258964143,0.0,8.6,FALL,25.1,7.1,,35.0,2.23,,,,,,1.344244,,19.693748448392075,8,0.6028,29,71.3678689413156,8.444553086736235
Colusa,39.17751355133273,-122.23674825341509,0.0,26.4,8.6,5.2,17.799999999999997,0.196969696969697,0.0,8.2,FALL,26.4,5.2,,50.0,2.28,,,,,,1.0364879999999999,,19.48918859323832,12,0.4546,20,384.06859519663595,2.1113553652522863
Contra Costa,37.91893399518619,-121.92634148953294,0.0,25.0,15.0,6.8,10.0,0.272,0.0,8.7,FALL,25.0,6.8,,48.0,1.9,,,,,,0.76418,,19.693748448392075,10,0.4022,11,302.6806540036736,2.5008695253692412
Del Norte,41.74275471175066,-123.89690219790852,0.0,16.4,8.4,6.8,7.999999999999998,0.41463414634146345,0.0,12.7,FALL,16.4,6.8,,62.0,1.09,,,,,,0.8920560000000001,,17.6739206592883,1,0.8184,62,13.608477170042317,1.5903771233297386
El Dorado,38.77891132408718,-120.5250513324122,0.0,22.9,13.2,9.9,9.7,0.4323144104803494,0.0,10.1,FALL,22.9,9.9,,28.0,2.26,,,,,,1.580192,,20.00115111362321,9,0.6992,40,113.02186095719834,7.107299202682675
Fresno,36.75855952256403,-119.65341127331918,0.0,27.9,11.1,5.9,16.799999999999997,0.21146953405017924,0.0,4.0,FALL,27.9,5.9,,64.0,2.44,,,,,,1.218048,,28.153222351637414,9,0.4992,2,316.20946759880565,1.715142032846881
Glenn,39.59848588146047,-122.3920273292113,0.0,25.6,14.3,9.2,11.3,0.35937499999999994,0.0,14.4,FALL,25.6,9.2,,39.0,2.13,,,,,,0.7793669999999999,,17.956845289454236,10,0.3659,1,306.4335279075779,3.9129596746563458
Humboldt,40.69643259094412,-123.87405180144142,0.0,15.9,8.0,8.2,7.9,0.5157232704402516,0.0,11.2,FALL,15.9,8.2,,71.0,1.2,,,,,,0.82392,,17.26614004035082,2,0.6866,63,16.064826607732652,1.755034651006885
Imperial,33.0399401119891,-115.36535928430732,0.0,34.8,13.7,5.9,21.099999999999998,0.1695402298850575,0.0,8.0,FALL,34.8,5.9,,14.0,5.22,,,,,,4.055418,,18.89421075423163,12,0.7769,10,603.372347268597,4.712897660377551
