GIS_ACRES,DURATION,ALARM_DATE,lat,lon,LC_Type1,LST_Day_1km,NDVI,ET_500m,Percent_Tree_Cover,om_temp_max_c,om_wind_speed_max_ms,om_soil_temp_mean_c,om_rel_humidity_mean,om_vpd_max_kpa,om_soil_moisture_0_7cm_mean,om_wind_dir_dominant_deg
12.298944,0.0,2018-02-08 00:00:00+00:00,32.55679297552145,-116.87111460310216,10.0,32.4,0.3166,2.0,7.0,27.39900016784668,10.163227081298828,18.259416580200195,15.469033241271973,3.308741569519043,0.0780000165104866,40.17565536499024
23.325134,1.0,2021-07-15 00:00:00+00:00,32.57529889917119,-116.6564733992296,10.0,38.6,0.252,4.8,8.0,31.75950050354004,17.41447639465332,33.74699401855469,49.26074600219727,3.324148178100586,0.0699166804552078,258.2725524902344
19.736109,0.0,2006-07-15 00:00:00+00:00,32.57898934253057,-116.60367620973244,10.0,44.0,0.2113,1.7,3.0,37.09999847412109,13.708391189575195,35.295833587646484,39.843074798583984,4.847146034240723,0.082791656255722,277.2205810546875
270.63254,0.0,2002-02-26 00:00:00+00:00,32.64456410717625,-116.69202534534578,10.0,30.7,0.382,2.7,4.0,27.19700050354004,15.844088554382324,19.307416915893555,34.34257125854492,3.3000600337982178,0.0598333291709423,65.38465118408203
123.6037,2.0,2005-07-14 00:00:00+00:00,32.67786743211087,-116.63843394122192,6.0,38.6,0.5861,9.3,20.0,33.67799758911133,11.726277351379396,31.590505599975582,41.49518585205078,3.86589241027832,0.0820000097155571,308.22271728515625
270.07477,1.0,2014-03-08 00:00:00+00:00,32.81366770555402,-116.49329872731722,6.0,20.2,0.5184,3.9,17.0,19.39249992370605,23.565568923950195,13.39041805267334,38.015872955322266,1.8892426490783687,0.2873750030994415,59.86695098876953
122.72171,3.0,2006-07-14 00:00:00+00:00,32.82174082994416,-116.5438657852266,6.0,43.6,0.4613,2.8,9.0,35.91749954223633,12.979984283447266,28.71125221252441,35.95000076293945,4.74518632888794,0.1179583594202995,269.4628601074219
30.621279,4.0,2006-02-08 00:00:00+00:00,33.08302151445795,-116.60604755140028,9.0,21.5,0.4188,4.2,18.0,20.655500411987305,15.192682266235352,12.147167205810549,10.19258975982666,2.3128628730773926,0.0900000110268592,53.18429565429688
30.286394,3.0,2019-03-13 00:00:00+00:00,33.0542196490686,-115.33906465487163,12.0,26.6,0.616,5.4,3.0,21.773500442504883,31.072816848754883,18.32141876220703,43.98370742797852,2.308675527572632,0.056999996304512,268.6755065917969
269.65573,1.0,2006-07-15 00:00:00+00:00,33.097254180281645,-116.52207870318996,10.0,44.8,0.2364,0.5,4.0,41.17900085449219,12.287554740905762,41.26025772094727,26.24088478088379,6.777993202209473,0.0211666654795408,263.2574462890625
177.29681,0.0,2010-07-15 00:00:00+00:00,33.13963512800219,-116.52398594385234,7.0,47.6,0.1951,1.3,1.0,38.85749816894531,12.605141639709473,38.3970832824707,33.482913970947266,5.566962718963623,0.0329166688024997,201.21417236328125
2.7875617,0.0,2006-02-09 00:00:00+00:00,33.26883973673085,-117.17173373890137,9.0,25.1,0.5088,4.9,12.0,27.559499740600582,13.089353561401367,16.611581802368164,30.00200843811035,3.247953176498413,0.1147500053048133,185.35569763183597
